"[run number]","deterrents","detection_sick_people","security_measures","proportion_retired","people","_network_type","_nodes","proportion_paranoid","proportion_worker","infectious_rate","duration","discovery_type","lockdown_type","proportion_student","stability-factor","proportion_skeptic","[step]","n_of_death","days","count turtles with [spreader? = true]","count turtles with [color = gray]","count turtles with [notp? = true]","Neg_student + Neg_retired + Neg_worker","count turtles with [color = gray] + n_of_death"
"48","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1521","9","77","35","468","73","20140","477"
"49","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","1441","21","73","75","463","163","19080","484"
"51","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1081","11","55","77","467","153","3801","478"
"52","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1201","7","61","70","478","162","4240","485"
"53","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1401","11","71","37","482","77","4861","493"
"56","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","881","18","45","42","472","80","3049","490"
"50","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_worker","18","200","12","2061","9","104","121","486","240","27295","495"
"55","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1361","15","69","105","477","170","4669","492"
"54","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1261","9","64","66","481","123","4407","490"
"57","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1701","13","86","67","480","123","5779.5","493"
"59","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1061","12","54","41","479","85","3755.5","491"
"58","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1281","19","65","68","467","130","4356.5","486"
"61","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1281","17","65","37","476","81","4314.5","493"
"60","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1461","15","74","176","475","322","4966","490"
"64","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1321","10","67","75","480","156","4585.5","490"
"66","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","981","13","50","52","476","94","3352","489"
"62","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2001","17","101","50","480","98","6685","497"
"65","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1361","15","69","46","476","82","4643","491"
"63","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1781","7","90","59","492","101","6246.5","499"
"67","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1461","11","74","77","482","140","5086","493"
"71","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1161","14","59","48","478","87","4015","492"
"69","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1321","9","67","66","481","128","4612.5","490"
"70","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1281","10","65","48","480","82","4461.5","490"
"68","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1961","12","99","112","485","229","6698.5","497"
"73","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1161","10","59","77","478","142","4087","488"
"72","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","2401","14","121","38","484","79","8134","498"
"78","false","false","true","29","500","small-world","500","12","53","3","14","standard_min","lockdown_retired","18","200","12","1101","15","56","51","479","101","3839","494"
